,C3L-02665,C3L-01663,C3N-02575,C3L-02546,C3L-00965,C3L-02963,C3N-04162,C3L-02646,C3N-02285,C3N-03875,C3N-03424,C3N-01017,C3L-00081,C3L-02649,C3L-01838,C3N-02252,C3L-03963,C3N-03072,C3L-02969,C3N-03662,C3N-03051,C3N-02434,C3L-02127,C3N-02339,C3L-03961,C3L-04391,C3L-02619,C3N-02494,C3N-03880,C3N-03092,C3L-02669,C3N-03877,C3N-01846,C3L-02964,C3N-00247,C3N-02288,C3L-01606,C3L-02164,C3N-02374,C3N-02675,C3N-02523,C3L-02130,C3N-02426,C3N-02284,C3L-00923,C3N-03486,C3N-04127,C3L-02951,C3L-02629,C3L-04013,C3N-00221,C3L-00568,C3N-04155,C3N-01025,C3L-02552,C3N-02375,C3L-02660,C3L-01884,C3N-02300,C3L-01285,C3L-02627,C3L-00993,C3N-02425,C3L-02170,C3N-00555,C3N-01893,C3N-03093,C3L-01455,C3N-03848,C3L-02968,C3N-03204,C3L-00445,C3N-02283,C3N-02289,C3L-03962,C3L-03272,C3N-01411,C3L-00415,C3N-03882,C3L-01000,C3L-02650,C3L-02358,C3L-02168,C3L-02625,C3N-01028,C3N-02435,C3N-03441,C3L-04071,C3N-01020,C3N-00497,C3N-01194,C3L-02648,C3L-03678,C3L-02891,C3L-00927,C3N-03886,C3L-04014,C3N-03076,C3N-03425,C3L-02163,C3N-04124,C3L-00904,C3N-00211,C3N-01892,C3L-00603,C3L-03965,C3N-03851,C3L-02349
MAPK12,24.293720319542153,23.802411925050002,24.581045307312152,23.8862275534876,24.586653698447,21.10323814414082,20.78458490213154,20.771021290961777,20.76002313174258,20.879437751336344,23.23382592526143,23.014194954713165,23.400093279513968,23.366340178893598,23.111065021131367,21.985998734789447,22.305595515052175,22.202837658580474,22.364442984921503,22.024111544221526,22.747370946277332,22.456330176913866,23.03304901093217,23.04641820676503,22.9550495166055,23.16660416911333,22.78663022176657,22.989232250021633,23.3328371968731,23.290757929412536,21.91100682674012,21.7169237795406,21.323219745504247,22.020178298160474,21.4215801103852,21.987883376270222,22.23790486887075,22.2216355789166,22.048147119036173,22.240405618872476,22.07148847051245,22.09872402682685,22.220582353391,22.50075237781045,23.41108805171065,23.95232259390345,24.05788018754705,23.865871513408948,23.6058656779587,21.279526007902017,20.66459587053298,21.08361777620714,20.702732276306623,21.4155529489869,22.942267768504635,23.023782023805,22.814496591353265,23.335555722307102,22.821948223734697,22.008316355866302,21.9224911281019,21.520884156082424,21.656719641439,21.587868703439426,21.4769471030766,21.131514063835226,21.648500831715147,21.3808258615028,21.06997299714655,21.010080382047825,20.9886113240758,21.22105887461695,21.191274762244525,21.7532613118582,21.38189010762707,21.467917949961333,21.262741520599832,21.5587092282301,22.854550902852,22.672636732315265,22.475528543827796,23.046534883675534,22.668292212009266,22.97558567251643,23.140258541726467,23.646869583421502,22.95097393534567,22.780084781719967,23.3491508164296,23.0887606073661,22.859778416526797,22.998663953972237,22.84910786434217,22.079004546261974,21.873952953300773,21.84399799396075,21.779102035725998,21.973175771628327,21.51861209183973,21.728663960981233,21.233408968321665,21.94410411216057,21.976620350916235,23.66722175858575,24.13623078368845,23.9949929693117,24.075475336120498,23.912207971024948
SIK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEK9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,21.507790789083824,22.107642655600852,21.582541902786875,22.33948199484617,22.073290965733623,21.25637064102365,21.068944346265926,22.07001803514465,21.88452780350115,21.580260238627027,23.2572502399259,22.681237669085533,22.027220747929135,22.0137918355863,21.665730206923737,22.28368245992035,22.4898055776103,22.144488663385076,21.3880756752395,22.185654741468827,21.474910465671503,22.189082567161734,20.909617958429966,22.2345710063902,21.6991989120512,21.960296882109976,21.86823287865915,22.338476424278298,21.999975114948725,22.39858533625485,20.879852757625965,21.799871218670066,22.2168183500079,21.579534116482503,22.442774837131964,22.49235541128427,22.466507943549967,22.957691361424963,22.32793240877753,23.603198214845765,22.113737223261467,22.148907880023103,22.42355521459243,22.0190890480857,22.79768746547415,22.290019698295573,22.3063817048655,22.35144098128935,21.929901220737275,21.737202504182402,21.059847410334967,21.6434885637776,22.116364893111665,22.383746451511502,22.285293898582623,22.285761997323352,22.67970506525285,22.236778401888472,22.20696801922795,21.504963895878603,21.24226867643033,21.977821785331134,21.7754844562287,21.8098989168177,21.739463823223,22.03007890141445,22.08386207612775,22.931909277124227,23.557396096410134,22.486842538140234,22.1976272947953,21.5421672767269,21.363941654686865,23.270876892004434,22.18883487837847,22.1863392632746,22.18027060663613,22.553372431368132,21.880018666751752,22.50498645492975,22.059872638072427,22.122718985035547,21.9359641869357,22.035148268127276,22.38477727498825,22.6701233530325,23.001366082205074,22.1189446204995,22.23729827809075,22.444941185954576,22.27394075332913,22.40480697780275,22.132166966608928,22.242884747187727,21.77610162596645,21.779425685660698,22.119742866353302,21.8508056067003,21.805345957841777,21.171352543492297,22.07587356317275,21.747499738031152,21.996330705962777,23.68686455703625,22.999816042276002,22.79882329690625,23.02140080244315,23.082129973836302
MAP2K2,25.0873988470875,25.08802303676357,24.89841184184865,24.20436474321693,24.138148645490066,23.3086138462883,23.5189675391352,26.6122853427059,26.1371053176545,25.27774722244485,26.23877662916835,24.598701727300135,23.018981274490802,23.263597207523564,23.6838520086169,24.327862911483667,23.445209726267006,24.2363020934646,24.153165300749663,23.515617276583068,21.25760278858965,21.367071642631725,21.803778196772548,22.584661211934524,21.844119302719275,23.3906443560118,22.949575827045397,24.356888373965365,22.636281741196935,23.165612164735432,21.300805583405122,21.827536863415474,22.36867352588625,21.57139131679797,22.807144479807,21.99052670427955,21.5000465045811,22.0835672376984,21.494348538970176,23.560807278733765,22.399180156869136,22.852393678473533,23.212487495383034,22.042018029008265,25.8459655982832,25.1469599528468,25.791019201449302,24.940427091115552,25.694256642913402,22.551662643960565,23.62586554494347,23.50208240954127,24.068898568553802,23.37913318701453,23.4676473759351,23.8463787060623,24.231115079078865,23.2217820410272,23.909543885365835,21.50936527804973,21.880413439428803,22.296251357203335,21.9645894908577,22.5985804655128,24.23115873866865,26.900095724535753,25.15548483796305,25.80021885043835,26.69338727361725,25.8594763160356,26.0371555619185,24.02227703670075,24.95420045558645,24.143327101791737,23.447587354765233,23.440899153229935,22.952300114537866,23.4992832342032,25.73822572535765,26.3508150596858,25.7807810654963,24.31281424328955,24.467468475554497,23.2375076929851,23.95336005614543,23.602600015184834,24.384517577826568,23.896613170238933,23.1808045839221,26.92584300901975,24.79698282587893,23.966260051118496,24.819076006438802,25.256030616524498,24.16461667778005,25.2842303226318,24.81842727982875,26.5184445630558,25.51154275549225,24.5193783722135,25.52886181750725,24.5012839365572,24.023136744802848,26.507566480651647,25.1021275317679,24.366963235663597,25.27981581872955,24.9902420379167
PTK6,20.922039473882073,21.266747874221423,20.764285131489775,21.7072335716188,20.703587288835877,19.531522841127902,18.66468434984268,19.9584941540034,20.58623172871634,19.959313338043096,22.803436636940265,22.084105704769836,22.349625164774835,22.08491072677617,22.272665572858568,21.475250601836297,21.651963161024764,21.59428243415567,21.831595519032902,21.597902262347034,22.150829744374434,21.868790444288035,21.414980641020932,22.24353891610657,21.89476489760533,21.870617714561764,21.435272453170597,21.467260946709434,21.2879933723979,21.4523517776425,21.607035336279097,21.916204767765436,22.20128649875203,22.13965599153953,22.158646392332667,23.013646016856697,23.273756682218448,23.9270985340473,23.21727570536005,21.6735039138692,21.063545032241024,21.019015916620873,21.654137460228526,21.078013456695874,22.817006187563734,22.072869572935,23.067285822250437,22.6746548759766,21.74363818818023,22.75384225992725,21.9622292205829,22.71987694692795,22.74719618131995,22.64151820342955,20.887160432437526,20.303612420683326,20.827056892995525,20.686647386457974,21.12782417659765,20.310136651978198,20.731185516512248,21.236959872958675,20.99587767994,20.912539631022796,18.54958979830685,19.535295000795777,19.344808616319526,19.314542176604398,20.9555457280893,20.457322360861124,19.421424173984075,19.16991763218125,19.19809645724105,19.60063380654195,18.750721354615024,19.162715600095975,19.0562725663824,19.7319086251498,21.157554666156276,21.09313919406465,21.00339325963167,21.648117725543102,20.4716619823967,18.658563204510934,19.060360601272716,19.39092120530726,19.5355962294048,19.229047265686134,21.190062849406228,19.22805016390452,19.60928792110302,20.04384029328564,19.831943858321118,18.18057179982265,18.475200624304275,18.5373255415777,18.378885634390375,18.352704836198726,20.207633696487143,19.161258116107042,19.289240358371497,20.2989229646373,18.8834232817493,21.5702647070311,20.764817991561035,20.639977088821333,20.770767283513635,20.927108511652403
MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTBK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEK2,21.87792716471626,21.80946230195544,22.064765968084114,22.1285316897906,21.840637190720614,21.923780708387127,21.859365783464998,22.05074221204861,21.87271846798884,21.715512761789988,21.719249207582227,22.144968923267562,21.6545529255091,21.59195605028411,21.60223853447814,22.175513953337564,21.403814696081685,22.302983020943948,21.588242676127322,22.192433066201723,21.817477547450263,21.710166413622613,21.555263795723647,21.071190509823513,21.00495465132226,21.624151774642055,22.09812160925578,21.64719879173437,21.088490324411868,21.397466349447317,21.938276880716643,23.021751313377887,22.249883290110485,22.135760437815996,21.33548380451623,22.50052629043534,21.60836541225794,21.49483402076458,22.68056026778488,20.806325573673142,21.50356711129471,21.47563992914842,20.81494079915957,21.814583145108966,21.442175097068997,22.07266408687454,21.76998152832646,21.949070947673775,21.024372761186036,21.021876321669843,21.889135499200748,21.16015511838622,21.480743450594407,21.33795162100649,21.045333544574174,21.67401181733073,20.840346448289175,21.461571502255875,21.871506997465737,21.876901294443353,21.955083257059375,22.623046306096533,22.375338603568014,21.37520623822823,21.789397207607447,21.34334614355181,20.525182298773522,21.160094631653138,21.09646251069813,21.269005716074055,22.170297132598478,21.287037335031425,21.402909778767345,21.393473776046285,21.934354577421523,22.04809116533611,22.06014608356705,21.45128337614625,21.602257431826885,21.411052700762223,20.970572827544444,21.38617520496361,21.52347173955829,21.3071280415283,20.8635845781229,21.00719948350519,21.10892643241852,21.174778304468692,21.232599516313332,21.701951745963335,21.924346633168955,21.023110271085955,21.981714115480965,21.392908008253215,21.883155134449385,21.416308161746297,21.58713585258988,21.5147071075593,21.88996562636239,22.03672220619209,21.527241944514802,21.369929895002265,21.59325524235264,21.7185167749905,22.3078376248528,21.218150351644088,21.76050594870816,21.842642484712975
GSK3A,22.01952263364541,21.66638896902107,22.423617621148676,22.157770093257948,22.28426264786002,22.470780189302264,22.42746995914053,22.14133795141184,22.34779956979741,22.51564439958352,22.491167524020476,22.112796225028458,22.89625926272609,22.332871275870442,22.73882902734339,22.94340036614479,23.139512013976713,23.29309346764814,22.922976218710183,23.166231541417087,22.8926876206885,22.722783098963824,22.542369004813644,22.261551425826177,22.72754447387232,22.565855098169422,23.050240851927413,22.718151720778565,22.72231627117454,22.670924850034865,22.24963381350556,22.375875371068236,21.973350646539615,22.39791368550705,21.950503817479824,22.589372001333857,22.353625762609674,22.326074453156924,23.039105107174333,21.837625603692672,21.904435113240048,21.684685044596446,21.66121220697672,22.284406274063038,21.66445745155871,22.281805659828787,22.04357428540916,22.15131498571224,22.087590145580037,22.946328655376764,22.7037280212821,22.441861243594285,22.776230682938202,22.763093117067438,23.838658193110874,24.02983498821725,24.1368343835277,24.113564776368975,24.23656769672645,23.0607876703534,22.529369060757688,22.469952544333786,23.077404180455186,22.355684078644735,22.279727143623347,22.221246728381598,22.2258105606447,21.96486303953794,22.88884248194733,23.192487713332525,23.384956310483012,23.411743149924526,22.825324257720784,22.8092878526175,22.79594221966156,23.16830901311551,23.104004120658267,22.93895074080887,22.52535847325612,22.745735992998252,22.432446075777797,22.94096641409474,22.554133396592853,23.23608945208453,22.74409790657546,23.031476495305345,22.951224070954954,22.628760635678873,22.503843594572533,22.21634086434719,22.134234435457007,21.956151361530445,22.33523959228691,22.729266499512022,22.7205641586785,23.08180714348626,22.79131304984738,22.4071183629191,22.69829032088361,22.66566610213888,22.552291976710684,22.367398113356,22.369526322266488,23.125623673483442,23.0157237803054,22.866217749062514,22.404528182300332,22.703257164324555
MAP3K8,22.810698706275822,22.59660041532912,22.95687400055602,21.835300006426642,22.48129758117654,21.621325760705147,22.87702424383875,22.846969513129704,23.381377836666463,23.59218608424095,22.570320971951098,22.923533510155522,23.24178728965276,23.86902743098388,22.68371739829634,23.69662007292902,23.38283356559342,23.81908200043842,23.28353739408762,23.04975608234068,22.29733129536934,22.518856744632735,22.491817882848178,21.477628700862418,21.456081266885057,22.97219942081796,23.802278025587178,23.648662487158,23.25726815478144,23.363473933480122,22.606794400231617,22.57887271917122,22.136246728453,22.71267327621704,22.18972660812366,22.27613711625022,22.5740593968676,21.54858152581472,22.421958078489244,21.97174387262428,22.58269364897232,22.10524176512792,22.27660242175756,22.78105063333794,22.290576364724785,23.5915770734472,22.826619525117014,22.96968973501365,22.8996190233739,22.36977386172392,22.706633069064118,22.2063778934694,22.63977186103076,22.48143680547654,21.813483640572333,22.855134864448946,22.02374169494135,22.600851281471147,22.98594216872735,23.11945965274638,22.25862302487616,23.1964292212906,22.75221709245674,21.47917033713192,22.891383481984352,22.869852669352202,23.3539801823418,22.878326054634368,22.694255750572864,22.803207178908185,23.301418251954416,22.826383652144955,23.240434592795683,21.86388433303276,23.00160536658346,22.2223162063171,22.68752999863228,21.9327565984164,22.75576203657218,23.36038820226084,22.43779434901814,22.265861811127138,21.816718793088018,22.758236721253137,22.336312934114062,22.183763014061277,22.413489192231943,22.779523451342282,22.878912652465782,23.1711306957979,23.13287096153077,22.867364895491665,22.981575873388298,22.59763065469485,22.453671584866765,23.158811652068028,22.89359825494982,23.13712125326637,23.316054427679585,22.32022498273388,22.67472314036075,22.740540939926003,22.749984692881416,22.836077031146583,23.238671618059,22.66702146813772,23.183067588636778,22.564460971057215
MAP3K14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPHA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGK3,25.124123746857602,26.105731994362568,24.816818843830465,25.454162873477333,24.17411451923967,23.395418890912,22.56766046565987,24.647031413853366,24.5036261887772,24.97582242695097,24.1424352372739,23.62021478841243,23.561943968896504,23.464970846212896,23.9894629164887,24.843510619860535,23.958208697210967,25.057978408470067,24.102065048186404,24.070149651021,25.014321406501267,24.100081322556964,23.9658220652435,24.389947297316468,24.1585334071745,22.498500196142032,24.128389574530065,23.2420992425124,23.1669244227209,23.666181136607136,24.77727556188577,24.231018249344203,25.004358660467933,25.320226504982532,25.039758554415332,25.427602112017734,25.272485099390696,25.033069695909333,24.34351657681353,25.812077142333397,24.529364920488035,25.110404912954433,24.8661379627367,24.034622367326133,25.13098721719503,23.987698769713564,23.91038006740743,24.21337501562843,23.9614366501612,22.9128579038804,25.52735778058885,23.6836705833471,23.19447217956735,23.20543536353405,24.882462633403335,24.712709825378298,24.768890225566835,24.45610136311103,25.815319239791467,22.726698096957065,25.062295601761367,24.473953357003705,24.153622650918198,23.87774857187807,24.058424313522035,25.43376748496853,24.975688943282297,25.313682279162435,25.7419409984518,24.6804753750919,23.811433770213032,23.33772661066543,23.670987825684865,24.483609396881764,23.137632180902568,23.208160972587933,23.864443649035604,26.2647059483174,24.631330726531868,26.04987948391093,25.631547281177564,26.003043207030263,24.708481643342168,23.802616710820732,23.067174807513734,23.159699693703,24.416426076762534,24.288348440781366,22.93707628000247,23.8174014627261,24.5389814377135,23.687375804143738,23.667276098402166,24.045468409639298,23.4433120595408,24.190469416319402,24.1818555013074,24.488590746318735,24.779277198240596,24.457231686202004,25.748888359921136,24.982031309889866,23.502552695210465,23.904525712640567,24.098524926076866,23.26035218999347,23.343210297122237,23.847348383633364
